폴더	파일	무엇인가	낱말수	첫낱말	썼나
19기 베트남어 단어 자료	19기 단어시험 9회차-베트남.xlsx	시험지·한글뜻	20	tốt	일일 9
19기 베트남어 단어 자료	19기 단어시험24회차－베트남.xlsx	시험지·영어뜻	40	humid	일일 24
19기 베트남어 단어 자료	19기 단어시험25회차－베트남.xlsx	시험지·영어뜻	20	thời gian	일일 25
19기 베트남어 단어 자료	19기 단어시험27회차－베트남.xlsx	시험지·영어뜻	40	Monday	일일 27
19기 베트남어 단어 자료	19기 단어시험38회차-베트남.xlsx	시험지·한글뜻	40	Rolled pho	일일 38
19기 베트남어 단어 자료	19기 단어시험53회차－베트남.xlsx	시험지·한글뜻	40	tiêu chuẩn	일일 53
19기 베트남어 단어 자료	19기 단어시험54회차－베트남.xlsx	시험지·한글뜻	20	địa phương	일일 54
19기 베트남어 단어 자료	250712 3차 주간단어.xlsx	시험지·한글뜻	241	to paint	주간 3
19기 베트남어 단어 자료	BAI 1 (1).mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 1. 발음.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 1.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 2. 발음.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 2.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 3. 발음.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 3.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 4. 발음.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 4.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 5. 발음.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 5.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 6.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 7.mp3	소리	0		안 씀
19기 베트남어 단어 자료	BAI 8.mp3	소리	0		안 씀
19기 베트남어 단어 자료	NVH＿TVNC＿Q1＿Bai1－6.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	NVH＿TVNC＿Q1＿Bai7－10.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	TalkFile_19기 단어시험 58회차 베트남.xlsx (2).xlsx	시험지·한글뜻	30	thể hiện	일일 58
19기 베트남어 단어 자료	TalkFile_19기 단어시험 72회차 베트남.xlsx.xlsx	시험지·한글뜻	30	giáo dục	일일 72
19기 베트남어 단어 자료	TalkFile_19기 단어시험23회차-베트남.xlsx.xlsx	시험지·영어뜻	40	to send	일일 23
19기 베트남어 단어 자료	Tieng Viet co so 2（1－6）.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	Tieng Viet co so 2（7－12）.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	Tiếng Việt CS － Q2.pdf	모음집(회차 없음)·영어뜻	10	Rồi. Tôi đến (nhiề	일일 0
19기 베트남어 단어 자료	Tiếng Việt CS － Q3＿－압축됨.pdf	스캔 그림(글자층 없음)	0		안 씀
19기 베트남어 단어 자료	Tiếng Việt CS － Q4＿compressed.pdf	스캔 그림(글자층 없음)	0		안 씀
19기 베트남어 단어 자료	Tiếng việt 4（1－6）.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	Tiếng việt 4（7－12）.zip	그 밖	0		안 씀
19기 베트남어 단어 자료	토요시험단어 1회차 250627.xlsx	시험지·한글뜻	241	thầy nhà báo luôn 	주간 1
19기 베트남어 단어 자료	토요시험단어 2회차 250705.xlsx	시험지·한글뜻	241	Trứng ốp la dở	주간 2
19기 베트남어 단어 자료	토요시험단어 자체제작.xlsx	모음집(회차 없음)·한글뜻	222	hard disk	주간 0
20기 베트남어 단어 자료	10주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	10주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	thủ tục biên giới 	주간 0
20기 베트남어 단어 자료	10주차 단어시험.xlsx	모음집(회차 없음)·한글뜻	30	thiết kế	주간 0
20기 베트남어 단어 자료	11주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	11주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	chính hiệu hợp khẩ	주간 0
20기 베트남어 단어 자료	12주차 단어 테스트(kiểm tra).docx	교재·설명글	0		안 씀
20기 베트남어 단어 자료	12주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	săm ngõ chuyên ban	주간 0
20기 베트남어 단어 자료	13주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	13주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	hồ bơi phí môi giớ	주간 0
20기 베트남어 단어 자료	14주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	14주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	trường mẫu giáo ho	주간 0
20기 베트남어 단어 자료	15주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	15주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	dong dỏng để ý tin	주간 0
20기 베트남어 단어 자료	16회차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	16회차 단어 테스트(đáp án).docx	시험지·한글뜻	25	đầu chẩn đoán hàng	일일 16
20기 베트남어 단어 자료	17회차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	17회차 단어 테스트(đáp án).docx	시험지·한글뜻	25	sốt ruột áo khoác 	일일 17
20기 베트남어 단어 자료	18회차 단어 테스트(kiểm tra).docx	교재·설명글	0		안 씀
20기 베트남어 단어 자료	18회차 단어 테스트(đáp án).docx	시험지·한글뜻	25	khiêu vũ đề bạt sâ	일일 18
20기 베트남어 단어 자료	19회차 단어 테스트(kiểm tra).docx	교재·설명글	0		안 씀
20기 베트남어 단어 자료	19회차 단어 테스트(đáp án).docx	시험지·한글뜻	24	lời khuyên bóng bầ	일일 19
20기 베트남어 단어 자료	1주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	1주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	29	hơi dễ sâu	주간 0
20기 베트남어 단어 자료	20기 ( 5 )회차 단어시험.xlsx	모음집(회차 없음)·한글뜻	30	vị trí	일일 0
20기 베트남어 단어 자료	20기 (6)회차 단어시험.xlsx	모음집(회차 없음)·한글뜻	30	ném	일일 0
20기 베트남어 단어 자료	20기 11회차 단어시험.xlsx	시험지·한글뜻	30	báo cáo	일일 11
20기 베트남어 단어 자료	20기 12회차 단어시험.xlsx	시험지·한글뜻	30	mỗi	일일 12
20기 베트남어 단어 자료	20기 13회차 단어시험.pdf	시험지·영어뜻	30	định	일일 13
20기 베트남어 단어 자료	20기 13회차 단어시험.xlsx	시험지·한글뜻	30	định	일일 13
20기 베트남어 단어 자료	20기 14회차 단어시험.xlsx	시험지·한글뜻	30	bán	일일 14
20기 베트남어 단어 자료	20기 15회차 단어시험.xlsx	시험지·한글뜻	30	đen	일일 15
20기 베트남어 단어 자료	20기 16회차 단어시험.xlsx	시험지·한글뜻	30	nghiên cứu	일일 16
20기 베트남어 단어 자료	20기 17회차 단어시험.xlsx	시험지·한글뜻	30	chăm chỉ	일일 17
20기 베트남어 단어 자료	20기 18회차 단어시험.xlsx	시험지·한글뜻	30	kẹo	일일 18
20기 베트남어 단어 자료	20기 19회차 단어시험.xlsx	시험지·한글뜻	30	thể thao	일일 19
20기 베트남어 단어 자료	20기 20회차 단어시험.xlsx	시험지·한글뜻	30	thạo	일일 20
20기 베트남어 단어 자료	20기 21회차 단어시험.xlsx	시험지·한글뜻	30	vợ	일일 21
20기 베트남어 단어 자료	20기 22회차 단어시험.xlsx	시험지·한글뜻	30	ông	일일 22
20기 베트남어 단어 자료	20기 23회차 단어시험.xlsx	시험지·한글뜻	30	đầu tư (vào)	일일 23
20기 베트남어 단어 자료	20기 24회차 단어시험.xlsx	시험지·한글뜻	30	khí hậu	일일 24
20기 베트남어 단어 자료	20기 25회차 단어시험.xlsx	시험지·한글뜻	30	mắt híp	일일 25
20기 베트남어 단어 자료	20기 26회차 단어시험.pdf	시험지·한글뜻	50	(T-shirts)	일일 26
20기 베트남어 단어 자료	20기 26회차 단어시험.xlsx	시험지·한글뜻	30	áo phông	일일 26
20기 베트남어 단어 자료	20기 27회차 단어시험.xlsx	시험지·한글뜻	30	bằng	일일 27
20기 베트남어 단어 자료	20기 28회차 단어시험.xlsx	시험지·한글뜻	30	xe khách	일일 28
20기 베트남어 단어 자료	20기 29회차 단어시험.pdf	시험지·한글뜻	50	(distance)	일일 29
20기 베트남어 단어 자료	20기 29회차 단어시험.xlsx	시험지·한글뜻	30	khoảng cách	일일 29
20기 베트남어 단어 자료	20기 2회차 단어시험.pdf	베트남어 아님	29		안 씀
20기 베트남어 단어 자료	20기 30회차 단어시험.xlsx	시험지·한글뜻	30	cổ truyền	일일 30
20기 베트남어 단어 자료	20기 31회차 단어시험.xlsx	시험지·한글뜻	30	thỉnh thoảng	일일 31
20기 베트남어 단어 자료	20기 32회차 단어시험.xlsx	시험지·한글뜻	30	sơn mài	일일 32
20기 베트남어 단어 자료	20기 33회차 단어시험.xlsx	시험지·한글뜻	30	miền Bắc	일일 33
20기 베트남어 단어 자료	20기 34회차 단어시험.xlsx	시험지·한글뜻	30	ngắm	일일 34
20기 베트남어 단어 자료	20기 35회차 단어시험.xlsx	시험지·한글뜻	30	đặt	일일 35
20기 베트남어 단어 자료	20기 36회차 단어시험.xlsx	시험지·한글뜻	30	lời khuyên	일일 36
20기 베트남어 단어 자료	20기 37회차 단어시험.xlsx	시험지·한글뜻	30	nhập ngũ	일일 37
20기 베트남어 단어 자료	20기 38회차 단어시험.pdf	베트남어 아님	23		안 씀
20기 베트남어 단어 자료	20기 38회차 단어시험.xlsx	시험지·한글뜻	30	gọi điện	일일 38
20기 베트남어 단어 자료	20기 39회차 단어시험 베트남.xlsx	시험지·한글뜻	30	sứ quán	일일 39
20기 베트남어 단어 자료	20기 3회차 단어 시험.xlsx	시험지·한글뜻	30	danh từ	일일 3
20기 베트남어 단어 자료	20기 40회차 단어시험.xlsx	시험지·한글뜻	60	anh	일일 40
20기 베트남어 단어 자료	20기 41회차 단어시험.xlsx	시험지·한글뜻	60	nhờ	일일 41
20기 베트남어 단어 자료	20기 42회차 단어시험.xlsx	시험지·한글뜻	30	thủ tục	일일 42
20기 베트남어 단어 자료	20기 43회차 단어시험.xlsx	시험지·한글뜻	30	biên giới	일일 43
20기 베트남어 단어 자료	20기 44회차 단어시험.xlsx	시험지·한글뜻	30	Có rồi	일일 44
20기 베트남어 단어 자료	20기 45회차 단어시험.xlsx	시험지·한글뜻	30	ảnh thẻ	일일 45
20기 베트남어 단어 자료	20기 46회차 단어시험.xlsx	시험지·한글뜻	30	phòng đơn	일일 46
20기 베트남어 단어 자료	20기 47회차 단어시험.xlsx	시험지·한글뜻	30	chính hiệu	일일 47
20기 베트남어 단어 자료	20기 48회차 단어시험 베트남.xlsx	시험지·한글뜻	30	hợp khẩu vị	일일 48
20기 베트남어 단어 자료	20기 49회차 단어.xlsx	시험지·한글뜻	30	chỉ cần	일일 49
20기 베트남어 단어 자료	20기 4회차 단어 시험.xlsx	시험지·한글뜻	30	kilôgam	일일 4
20기 베트남어 단어 자료	20기 50회차 단어.xlsx	시험지·한글뜻	30	cửa hàng miễn thuế	일일 50
20기 베트남어 단어 자료	20기 51회차 단어.xlsx	시험지·한글뜻	30	săm	일일 51
20기 베트남어 단어 자료	20기 52회차 단어시험.xlsx	시험지·한글뜻	30	ngõ	일일 52
20기 베트남어 단어 자료	20기 53회차 단어.xlsx	시험지·한글뜻	30	chuyên	일일 53
20기 베트남어 단어 자료	20기 54회차 단어시험.xlsx	시험지·한글뜻	30	ban công	일일 54
20기 베트남어 단어 자료	20기 55회차 단어시험.xlsx	시험지·한글뜻	30	thị trường	일일 55
20기 베트남어 단어 자료	20기 56회차 단어시험.xlsx	시험지·한글뜻	30	hồ bơi	일일 56
20기 베트남어 단어 자료	20기 57회차 단어시험 베트남.xlsx	시험지·한글뜻	30	lò vi sóng	일일 57
20기 베트남어 단어 자료	20기 58회차 단어.xlsx	시험지·한글뜻	30	giải pháp	일일 58
20기 베트남어 단어 자료	20기 59회차 단어시험 베트남.xlsx	시험지·한글뜻	30	làm hộ	일일 59
20기 베트남어 단어 자료	20기 60회차 단어.xlsx	시험지·한글뜻	30	trục trặc	일일 60
20기 베트남어 단어 자료	20기 61회차 단어시험.xlsx	시험지·한글뜻	30	trường mẫu giáo	일일 61
20기 베트남어 단어 자료	20기 62회차 단어시험 (1).xlsx	시험지·한글뜻	30	tổ tiên	일일 62
20기 베트남어 단어 자료	20기 62회차 단어시험.pdf	시험지·한글뜻	35	tổ tiên	일일 62
20기 베트남어 단어 자료	20기 62회차 단어시험.xlsx	시험지·한글뜻	30	tổ tiên	일일 62
20기 베트남어 단어 자료	20기 64회차 단어시험.xlsx	시험지·한글뜻	30	nghiện rượu	일일 64
20기 베트남어 단어 자료	20기 68회차 단어시험 베트남.xlsx	시험지·한글뜻	30	dong dỏng	일일 68
20기 베트남어 단어 자료	20기 69회차 단어시험.pdf	시험지·한글뜻	30	Nhân tiện	일일 69
20기 베트남어 단어 자료	20기 69회차 단어시험.xlsx	시험지·한글뜻	30	Nhân tiện	일일 69
20기 베트남어 단어 자료	20기 70회차 단어시험.xlsx	시험지·한글뜻	30	hiếu khách	일일 70
20기 베트남어 단어 자료	20기 71회차 단어시험.pdf	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	20기 71회차 단어시험.xlsx	시험지·한글뜻	30	tiếp khách	일일 71
20기 베트남어 단어 자료	20기 72회차 단어시험.xlsx	시험지·한글뜻	30	nhân tiện	일일 72
20기 베트남어 단어 자료	20기 73회차 단어시험.xlsx	시험지·한글뜻	30	đầu	일일 73
20기 베트남어 단어 자료	20기 74회차 단어시험.xlsx	시험지·한글뜻	30	chẩn đoán	일일 74
20기 베트남어 단어 자료	20기 75회차 단어시험.xlsx	시험지·한글뜻	30	hi sinh	일일 75
20기 베트남어 단어 자료	20기 77회차 단어시험.pdf	시험지·한글뜻	33	sốt ruột	일일 77
20기 베트남어 단어 자료	20기 77회차 단어시험.xlsx	시험지·한글뜻	30	sốt ruột	일일 77
20기 베트남어 단어 자료	20기 78회차 단어시험.xlsx	시험지·한글뜻	30	áo khoác	일일 78
20기 베트남어 단어 자료	20기 79회차 단어시험.pdf	시험지·영어뜻	30	giá trị	일일 79
20기 베트남어 단어 자료	20기 79회차 단어시험.xlsx	시험지·한글뜻	30	giá trị	일일 79
20기 베트남어 단어 자료	20기 7회차 단어시험.xlsx	시험지·한글뜻	60	tên	일일 7
20기 베트남어 단어 자료	20기 80회차 단어시험.pdf	시험지·영어뜻	30	vịnh	일일 80
20기 베트남어 단어 자료	20기 80회차 단어시험.xlsx	시험지·한글뜻	31	vịnh	일일 80
20기 베트남어 단어 자료	20기 81회차 단어시험 베트남.xlsx	시험지·한글뜻	30	chính xác	일일 81
20기 베트남어 단어 자료	20기 82회차 단어시험 베트남.xlsx	시험지·한글뜻	30	thùng	일일 82
20기 베트남어 단어 자료	20기 83회차 단어시험.xlsx	시험지·한글뜻	30	khiêu vũ	일일 83
20기 베트남어 단어 자료	20기 84회차 단어시험.xlsx	시험지·한글뜻	33	chùa	일일 84
20기 베트남어 단어 자료	20기 85회차 단어시험.xlsx	시험지·한글뜻	33	nhà hát	일일 85
20기 베트남어 단어 자료	20기 87회차 단어시험.xlsx	시험지·한글뜻	30	trốn học	일일 87
20기 베트남어 단어 자료	20기 88회차 단어시험 베트남.xlsx	시험지·한글뜻	30	sứ quán	일일 88
20기 베트남어 단어 자료	20기 89회차 단어시험.pdf	시험지·영어뜻	32	nhất định	일일 89
20기 베트남어 단어 자료	20기 89회차 단어시험.xlsx	시험지·한글뜻	30	nhất định	일일 89
20기 베트남어 단어 자료	20기 90회차 단어시험.xlsx	시험지·한글뜻	31	từ vựng	일일 90
20기 베트남어 단어 자료	20기 91회차 단어시험.pdf	시험지·영어뜻	31	biển báo tròn	일일 91
20기 베트남어 단어 자료	20기 91회차 단어시험.xlsx	시험지·한글뜻	30	biển báo tròn	일일 91
20기 베트남어 단어 자료	20기 93회차 단어시험 베트남.pdf	시험지·한글뜻	49	(honest,	일일 93
20기 베트남어 단어 자료	20기 93회차 단어시험 베트남.xlsx	시험지·한글뜻	30	thật thà	일일 93
20기 베트남어 단어 자료	20기 94회차 단어시험.pdf	시험지·영어뜻	30	không	일일 94
20기 베트남어 단어 자료	20기 94회차 단어시험.xlsx	시험지·한글뜻	30	không gian	일일 94
20기 베트남어 단어 자료	20기 95회차 단어시험.xlsx	시험지·한글뜻	30	nghiện rượu	일일 95
20기 베트남어 단어 자료	20기 96회차 단어시험.xlsx	시험지·한글뜻	30	di tích	일일 96
20기 베트남어 단어 자료	20기 단어시험 1회차 베트남.xlsx	시험지·한글뜻	30	hơi	일일 1
20기 베트남어 단어 자료	20회차 단어 테스트(kiểm tra).docx	교재·설명글	0		안 씀
20기 베트남어 단어 자료	20회차 단어 테스트(đáp án).docx	시험지·한글뜻	25	biển báo tròn thườ	일일 20
20기 베트남어 단어 자료	2주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	2주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	kilôgam vị trí ném	주간 0
20기 베트남어 단어 자료	3주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	3주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	24	địa chỉ biết thiết	주간 0
20기 베트남어 단어 자료	4권 베트남어 교재_단어.xlsx	모음집(회차 없음)·한글뜻	1148	Ai Cập	일일 0
20기 베트남어 단어 자료	4주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	4주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	buổi học định bán 	주간 0
20기 베트남어 단어 자료	5주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	5주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	nghiên cứu bảo hàn	주간 0
20기 베트남어 단어 자료	6주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	6주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	cháu nội ông đầu t	주간 0
20기 베트남어 단어 자료	7주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	7주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	mắt híp lịch sự nh	주간 0
20기 베트남어 단어 자료	8주차 단어 테스트(kiểm tra).docx	낱말이 적음	0		안 씀
20기 베트남어 단어 자료	8주차 단어 테스트(đáp án).docx	모음집(회차 없음)·한글뜻	25	cổ truyền dự tờ lị	주간 0
20기 베트남어 단어 자료	8주차 단어시험.xlsx	모음집(회차 없음)·한글뜻	150	kilôgam	주간 0
20기 베트남어 단어 자료	9주차 단어시험.xlsx	모음집(회차 없음)·한글뜻	30	biết	주간 0
(바로 아래)	[22기 3주차 화요일] 선후배간 Q&A ①베트남어 학습 노하우 _ 네이버 카페.pdf	베트남어 아님	22		안 씀
(바로 아래)	봉제용어.xls	못 읽음(InvalidFileException)	0		안 씀
(바로 아래)	생산관리 카톡방 단어 정리.xlsx	모음집(회차 없음)·한글뜻	262	vết	안 씀
